epoch: 171 | Cost: 39.182 | Train/Valid Acc: 0.9854/0.9832
epoch: 172 | Cost: 39.105 | Train/Valid Acc: 0.9853/0.9836
epoch: 173 | Cost: 39.022 | Train/Valid Acc: 0.9854/0.9820
epoch: 174 | Cost: 38.941 | Train/Valid Acc: 0.9856/0.9838
epoch: 175 | Cost: 38.867 | Train/Valid Acc: 0.9863/0.9838
epoch: 176 | Cost: 38.809 | Train/Valid Acc: 0.9858/0.9834
epoch: 177 | Cost: 38.741 | Train/Valid Acc: 0.9855/0.9834
epoch: 178 | Cost: 38.682 | Train/Valid Acc: 0.9854/0.9830
epoch: 179 | Cost: 38.608 | Train/Valid Acc: 0.9863/0.9832
epoch: 180 | Cost: 38.559 | Train/Valid Acc: 0.9859/0.9846
epoch: 181 | Cost: 38.522 | Train/Valid Acc: 0.9852/0.9826
epoch: 182 | Cost: 38.461 | Train/Valid Acc: 0.9860/0.9830
epoch: 183 | Cost: 38.409 | Train/Valid Acc: 0.9857/0.9840
epoch: 184 | Cost: 38.352 | Train/Valid Acc: 0.9860/0.9844
epoch: 185 | Cost: 38.305 | Train/Valid Acc: 0.9858/0.9824
epoch: 186 | Cost: 38.266 | Train/Valid Acc: 0.9858/0.9828
epoch: 187 | Cost: 38.233 | Train/Valid Acc: 0.9847/0.9820
epoch: 188 | Cost: 38.188 | Train/Valid Acc: 0.9855/0.9834
epoch: 189 | Cost: 38.159 | Train/Valid Acc: 0.9854/0.9828
epoch: 190 | Cost: 38.120 | Train/Valid Acc: 0.9860/0.9822
epoch: 191 | Cost: 38.089 | Train/Valid Acc: 0.9857/0.9834
epoch: 192 | Cost: 38.055 | Train/Valid Acc: 0.9858/0.9826
epoch: 193 | Cost: 38.032 | Train/Valid Acc: 0.9851/0.9838
epoch: 194 | Cost: 37.997 | Train/Valid Acc: 0.9861/0.9824
epoch: 195 | Cost: 37.975 | Train/Valid Acc: 0.9855/0.9824
epoch: 196 | Cost: 37.943 | Train/Valid Acc: 0.9861/0.9834
epoch: 197 | Cost: 37.917 | Train/Valid Acc: 0.9860/0.9828
epoch: 198 | Cost: 37.899 | Train/Valid Acc: 0.9836/0.9828
epoch: 199 | Cost: 37.875 | Train/Valid Acc: 0.9858/0.9822


Highest Valid Acc Epoch: 180
Test accuracy: 0.9775
